,Year,Projected Adjusted Sea Level (in),Projected Global Surface Temperature Anomaly (celsius),Projected Greenland Ice Mass Change (billion metric tons),Projected Global CO2 Emissions (billion metric tons)
300,2323,45.23985453972478,4.455074699999997,-56797.58500000002,215.29176999999981
301,2324,45.357626253477626,4.466783599999996,-56972.98000000004,215.87675999999988
302,2325,45.475397967230464,4.478492499999998,-57148.375,216.46174999999994
303,2326,45.5931696809833,4.490201399999997,-57323.77000000002,217.04674
304,2327,45.71094139473612,4.501910299999999,-57499.16500000004,217.63172999999983
305,2328,45.82871310848895,4.513619199999997,-57674.56,218.2167199999999
306,2329,45.94648482224179,4.525328099999996,-57849.955000000016,218.80170999999996
307,2330,46.06425653599464,4.537036999999998,-58025.350000000035,219.38670000000002
308,2331,46.18202824974744,4.548745899999997,-58200.744999999995,219.97168999999985
309,2332,46.299799963500284,4.560454799999999,-58376.140000000014,220.55667999999991
310,2333,46.41757167725313,4.572163699999997,-58551.53500000003,221.14166999999998
311,2334,46.53534339100594,4.583872599999996,-58726.93000000005,221.7266599999998
312,2335,46.653115104758776,4.595581499999998,-58902.32500000001,222.31164999999987
313,2336,46.77088681851161,4.607290399999997,-59077.72000000003,222.89663999999993
314,2337,46.88865853226446,4.618999299999999,-59253.11500000005,223.48163
315,2338,47.00643024601726,4.630708199999997,-59428.51000000001,224.06661999999983
316,2339,47.124201959770105,4.642417099999996,-59603.90500000003,224.6516099999999
317,2340,47.24197367352295,4.654125999999998,-59779.30000000005,225.23659999999995
318,2341,47.35974538727579,4.665834899999997,-59954.69500000001,225.82159000000001
319,2342,47.477517101028596,4.677543799999999,-60130.090000000026,226.40657999999985
320,2343,47.59528881478144,4.689252699999997,-60305.485000000044,226.9915699999999
321,2344,47.71306052853427,4.700961599999996,-60480.880000000005,227.57655999999997
322,2345,47.830832242287116,4.712670499999998,-60656.27500000002,228.16155000000003
323,2346,47.948603956039925,4.724379399999997,-60831.67000000004,228.74653999999987
324,2347,48.06637566979276,4.736088299999999,-61007.065,229.33152999999993
325,2348,48.18414738354561,4.747797199999997,-61182.46000000002,229.91652
326,2349,48.301919097298416,4.759506099999996,-61357.85500000004,230.50150999999983
327,2350,48.419690811051254,4.771214999999998,-61533.25,231.0864999999999
328,2351,48.5374625248041,4.782923899999997,-61708.64500000002,231.67148999999995
329,2352,48.655234238556936,4.794632799999999,-61884.04000000004,232.25648
330,2353,48.773005952309745,4.806341699999997,-62059.435,232.84146999999984
331,2354,48.89077766606258,4.818050599999996,-62234.830000000016,233.4264599999999
332,2355,49.00854937981543,4.829759499999998,-62410.225000000035,234.01144999999997
333,2356,49.126321093568265,4.841468399999997,-62585.619999999995,234.59644000000003
334,2357,49.244092807321074,4.853177299999999,-62761.015000000014,235.18142999999986
335,2358,49.36186452107392,4.864886199999997,-62936.41000000003,235.76641999999993
336,2359,49.47963623482676,4.876595099999996,-63111.80500000005,236.35141
337,2360,49.597407948579566,4.888303999999998,-63287.20000000001,236.93639999999982
338,2361,49.7151796623324,4.900012899999997,-63462.59500000003,237.52138999999988
339,2362,49.83295137608525,4.911721799999999,-63637.99000000005,238.10637999999994
340,2363,49.950723089838085,4.923430699999997,-63813.38500000001,238.69137
341,2364,50.068494803590895,4.935139599999996,-63988.78000000003,239.27635999999984
342,2365,50.18626651734374,4.946848499999998,-64164.17500000005,239.8613499999999
343,2366,50.30403823109658,4.958557399999997,-64339.57000000001,240.44633999999996
344,2367,50.421809944849414,4.970266299999999,-64514.965000000026,241.03133000000003
345,2368,50.53958165860223,4.981975199999997,-64690.360000000044,241.61631999999986
346,2369,50.65735337235506,4.993684099999996,-64865.755000000005,242.20130999999992
347,2370,50.775125086107906,5.005392999999998,-65041.15000000002,242.78629999999998
348,2371,50.892896799860715,5.017101899999997,-65216.54500000004,243.37128999999982
349,2372,51.01066851361355,5.028810799999999,-65391.94,243.95627999999988
350,2373,51.1284402273664,5.040519699999997,-65567.33500000002,244.54126999999994
351,2374,51.24621194111924,5.052228599999996,-65742.73000000004,245.12626
352,2375,51.363983654872044,5.063937499999998,-65918.125,245.71124999999984
353,2376,51.48175536862489,5.075646399999997,-66093.52000000002,246.2962399999999
354,2377,51.599527082377726,5.087355299999999,-66268.91500000004,246.88122999999996
355,2378,51.717298796130564,5.099064199999997,-66444.31,247.46622000000002
356,2379,51.83507050988337,5.110773099999996,-66619.70500000002,248.05120999999986
